order_id,customer_id,product_id,quantity,status,order_date,delivery_date,total_amount
O0436,C070,P022,2,Cancelled,2026-07-30,,300
O0437,C035,P034,2,Delivered,2026-07-09,2026-07-14,50
O0438,C059,P013,1,Processing,2026-07-22,,750
O0439,C044,P042,2,Processing,2026-07-12,,440
O0440,C079,P019,3,Delivered,2026-08-13,2026-08-16,2700
O0441,C052,P041,2,Delivered,2026-07-28,2026-07-30,320
O0442,C062,P043,1,Cancelled,2026-07-12,,380
O0443,C058,P021,1,Shipped,2026-07-01,2026-07-04,80
O0444,C074,P049,2,Shipped,2026-07-22,2026-07-29,860
O0445,C008,P001,2,Shipped,2026-08-11,2026-08-14,1700
O0446,C088,P043,1,Shipped,2026-07-30,2026-08-04,380
O0447,C118,P033,3,Delivered,2026-07-20,2026-07-27,120
O0448,C062,P019,2,Shipped,2026-08-09,2026-08-12,1800
O0449,C071,P010,2,Shipped,2026-08-08,2026-08-15,1780
O0450,C088,P031,3,Delivered,2026-08-12,2026-08-15,105
O0451,C091,P049,3,Delivered,2026-07-06,2026-07-12,1290
O0452,C107,P024,1,Processing,2026-08-06,,180
O0453,C022,P036,3,Delivered,2026-07-13,2026-07-16,135
O0454,C027,P021,3,Processing,2026-07-29,,240
O0455,C066,P046,3,Processing,2026-08-01,,360
O0456,C054,P029,1,Processing,2026-07-30,,45
O0457,C104,P030,3,Delivered,2026-07-04,2026-07-11,420
O0458,C096,P020,3,Shipped,2026-07-02,2026-07-04,1380
O0459,C045,P014,3,Processing,2026-07-05,,1260
O0460,C120,P045,1,Cancelled,2026-08-04,,450
O0461,C099,P005,2,Shipped,2026-07-03,2026-07-06,2500
O0462,C048,P009,3,Cancelled,2026-08-11,,1440
O0463,C085,P025,2,Shipped,2026-07-25,2026-08-01,110
O0464,C023,P035,1,Delivered,2026-08-11,2026-08-13,90
O0465,C029,P035,2,Processing,2026-08-03,,180
O0466,C070,P001,1,Delivered,2026-07-20,2026-07-27,850
O0467,C059,P028,3,Delivered,2026-07-25,2026-07-28,330
O0468,C113,P023,1,Processing,2026-07-18,,65
O0469,C079,P047,1,Delivered,2026-07-03,2026-07-08,650
O0470,C077,P050,1,Shipped,2026-07-16,2026-07-18,180
O0471,C032,P003,2,Delivered,2026-08-08,2026-08-10,1440
O0472,C028,P048,1,Shipped,2026-07-26,2026-08-01,210
O0473,C030,P049,1,Delivered,2026-07-09,2026-07-13,430
O0474,C105,P047,3,Delivered,2026-07-21,2026-07-28,1950
O0475,C067,P021,1,Delivered,2026-07-20,2026-07-27,80
O0476,C076,P015,2,Shipped,2026-07-20,2026-07-26,1360
O0477,C064,P048,1,Delivered,2026-08-10,2026-08-16,210
O0478,C041,P004,2,Delivered,2026-08-11,2026-08-17,1040
O0479,C049,P045,2,Processing,2026-07-27,,900
O0480,C039,P012,3,Shipped,2026-07-31,2026-08-03,900
O0481,C053,P046,1,Delivered,2026-07-30,2026-08-05,120
O0482,C032,P027,3,Processing,2026-08-03,,285
O0483,C109,P017,1,Delivered,2026-07-22,2026-07-27,340
O0484,C007,P024,1,Delivered,2026-08-04,2026-08-07,180
O0485,C112,P018,2,Delivered,2026-08-13,2026-08-15,1180
O0486,C028,P005,1,Delivered,2026-08-07,2026-08-13,1250
O0487,C028,P031,1,Shipped,2026-07-22,2026-07-24,35
O0488,C118,P013,3,Delivered,2026-07-08,2026-07-13,2250
O0489,C118,P016,3,Delivered,2026-08-08,2026-08-13,750
O0490,C060,P016,3,Delivered,2026-07-21,2026-07-26,750
O0491,C066,P035,3,Shipped,2026-07-23,2026-07-27,270
O0492,C061,P032,2,Delivered,2026-07-07,2026-07-14,100
O0493,C006,P049,2,Shipped,2026-07-14,2026-07-19,860
O0494,C071,P037,1,Processing,2026-07-10,,60
O0495,C043,P038,3,Shipped,2026-07-27,2026-07-30,54
O0496,C071,P015,2,Delivered,2026-08-06,2026-08-11,1360
O0497,C093,P042,3,Shipped,2026-07-22,2026-07-27,660
O0498,C102,P042,3,Delivered,2026-08-01,2026-08-08,660
O0499,C024,P023,1,Delivered,2026-07-09,2026-07-14,65
O0500,C105,P035,3,Delivered,2026-07-04,2026-07-06,270
